Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
20.3833,1190,1,,
20.4,1191,1,,
20.4167,1192,1,,
20.4333,1193,1,,
20.45,1194,1,,
20.4667,1195,1,,
20.4833,1196,1,,
20.5,1197,1,,
20.5167,1198,1,,
20.5333,1199,1,,
20.55,1200,1,,
20.5667,1201,1,,
20.5833,1202,1,,
20.6,1203,1,,
20.6167,1204,1,,
20.6333,1205,1,,
20.65,1206,1,,
20.6667,1207,1,,
20.6833,1208,1,,
20.7,1209,1,,
20.7167,1210,1,,
20.7333,1211,1,,
20.75,1212,1,,
20.7667,1213,1,,
20.7833,1214,1,,
20.8,1215,1,,
20.8167,1216,1,,
20.8333,1217,1,,
20.85,1218,1,,
20.8667,1219,1,,
20.8833,1220,1,,
20.9,1221,1,,
20.9167,1222,1,,
20.9333,1223,1,,
20.95,1224,1,,
20.9667,1225,1,,
20.9833,1226,1,,
21,1227,1,,
21.0167,1228,1,,
21.0333,1229,1,,
21.05,1230,1,,
21.0667,1231,1,,
21.0833,1232,1,,
21.1,1233,1,,
21.1167,1234,1,,
21.1333,1235,1,,
21.15,1236,1,,
21.1667,1237,1,,
21.1833,1238,1,,
21.2,1239,1,,
21.2167,1240,1,,
21.2333,1241,1,,
21.25,1242,1,,
21.2667,1243,1,,
21.2833,1244,1,,
21.3,1245,1,,
21.3167,1246,1,,
21.3333,1247,1,,
21.35,1248,1,,
21.3667,1249,1,,
21.3833,1250,1,,
